review_id,product_id,entity_id,salience,sentiment_score,sentiment_magnitude,name,type
1,1,1,0.2664136588573456,-0.4000000059604645,0.8999999761581421,Kindle,CONSUMER_GOOD
1,1,2,0.18295130133628845,-0.5,0.5,fire,OTHER
1,1,3,0.14482007920742035,-0.5,1.0,Fire,OTHER
1,1,4,0.07157669961452484,-0.20000000298023224,0.20000000298023224,tablet,CONSUMER_GOOD
1,1,5,0.070710688829422,-0.10000000149011612,0.10000000149011612,smartphone,CONSUMER_GOOD
1,1,6,0.05583041161298752,0.8999999761581421,0.8999999761581421,Fire,OTHER
1,1,7,0.05095776543021202,0.30000001192092896,0.30000001192092896,paperwhite,OTHER
1,1,8,0.04844655841588974,-0.20000000298023224,0.20000000298023224,desktop,CONSUMER_GOOD
1,1,9,0.04844655841588974,-0.10000000149011612,0.10000000149011612,laptop,CONSUMER_GOOD
1,1,10,0.03639916703104973,0.0,0.0,paperwhite,OTHER
1,1,11,0.023447103798389435,0.0,0.0,favorite,OTHER
2,1,1,0.653800904750824,0.0,0.0,support,OTHER
2,1,2,0.0894787535071373,-0.10000000149011612,0.10000000149011612,times,OTHER
2,1,3,0.08003414422273636,-0.6000000238418579,0.6000000238418579,library books,WORK_OF_ART
2,1,4,0.07819821685552597,-0.8999999761581421,0.8999999761581421,kindle,CONSUMER_GOOD
2,1,5,0.0541730560362339,-0.30000001192092896,0.30000001192092896,trouble,OTHER
2,1,6,0.022184934467077255,-0.20000000298023224,0.20000000298023224,kindle,PERSON
2,1,7,0.01281393226236105,-0.20000000298023224,0.20000000298023224,problem,OTHER
2,1,8,0.00931603368371725,0.0,0.0,time,EVENT
4,1,1,0.2976462244987488,-0.5,0.5,purpose,OTHER
4,1,2,0.10802116990089417,-0.10000000149011612,0.20000000298023224,Kindle,CONSUMER_GOOD
4,1,3,0.08477295935153961,0.0,0.0,smartphones,CONSUMER_GOOD
4,1,4,0.07464125007390976,0.0,0.0,age,OTHER
