review_id,product_id,entity_id,begin_offset,sentiment_score,sentiment_magnitude,content,type
1,1,1,47,-0.8999999761581421,0.8999999761581421,Kindle,PROPER
1,1,1,341,0.0,0.0,Kindle,PROPER
1,1,2,54,-0.5,0.5,fire,COMMON
1,1,3,132,-0.10000000149011612,0.10000000149011612,Fire,COMMON
1,1,4,84,-0.20000000298023224,0.20000000298023224,tablet,COMMON
1,1,5,70,-0.10000000149011612,0.10000000149011612,smartphone,COMMON
1,1,6,224,0.8999999761581421,0.8999999761581421,Fire,COMMON
1,1,7,184,0.30000001192092896,0.30000001192092896,paperwhite,COMMON
1,1,8,94,-0.20000000298023224,0.20000000298023224,desktop,COMMON
1,1,9,105,-0.10000000149011612,0.10000000149011612,laptop,COMMON
1,1,10,296,0.0,0.0,paperwhite,COMMON
1,1,11,353,0.0,0.0,favorite,COMMON
2,1,1,29,0.0,0.0,support,COMMON
2,1,1,126,0.0,0.0,support,COMMON
2,1,2,46,-0.10000000149011612,0.10000000149011612,times,COMMON
2,1,3,91,-0.6000000238418579,0.6000000238418579,library books,COMMON
2,1,4,59,-0.8999999761581421,0.8999999761581421,kindle,COMMON
2,1,5,70,-0.30000001192092896,0.30000001192092896,trouble,COMMON
2,1,6,172,-0.20000000298023224,0.20000000298023224,kindle,COMMON
2,1,7,196,-0.20000000298023224,0.20000000298023224,problem,COMMON
2,1,8,139,0.0,0.0,time,COMMON
4,1,1,50,-0.5,0.5,purpose,COMMON
4,1,2,22,0.0,0.0,Kindle,PROPER
4,1,2,267,-0.20000000298023224,0.20000000298023224,Kindle,PROPER
4,1,3,99,0.0,0.0,smartphones,COMMON
4,1,4,71,0.0,0.0,age,COMMON
4,1,5,119,-0.10000000149011612,0.10000000149011612,tablets,COMMON
4,1,6,161,-0.10000000149011612,0.10000000149011612,computer,COMMON
4,1,7,149,0.0,0.0,books,COMMON
4,1,8,312,0.0,0.0,books,COMMON
4,1,9,171,-0.10000000149011612,0.10000000149011612,smartphone,COMMON
4,1,10,504,0.0,0.0,purpose,COMMON
4,1,11,237,0.0,0.0,notifications,COMMON
4,1,12,261,-0.10000000149011612,0.10000000149011612,apps,COMMON
4,1,13,294,0.0,0.0,love,COMMON
4,1,14,355,0.0,0.0,social media,COMMON
4,1,15,455,0.4000000059604645,0.4000000059604645,eyes,COMMON
4,1,16,525,0.0,0.0,job,COMMON
4,1,17,471,0.0,0.0,reflection,COMMON
4,1,18,397,0.8999999761581421,0.8999999761581421,size,COMMON
4,1,19,417,0.0,0.0,reading,COMMON
4,1,20,426,0.30000001192092896,0.30000001192092896,light,COMMON
5,1,1,29,0.8999999761581421,0.8999999761581421,battery life,COMMON
5,1,2,58,0.20000000298023224,0.20000000298023224,eyes,COMMON
6,1,1,66,0.0,0.0,screen,COMMON
6,1,2,97,0.10000000149011612,0.10000000149011612,eyes,COMMON
6,1,3,84,0.0,0.0,strain,COMMON
6,1,4,163,0.0,0.0,health books,COMMON
6,1,5,114,0.0,0.0,mobile phone,COMMON
6,1,6,131,0.0,0.0,reading materials,COMMON
7,1,1,19,0.0,0.0,anywhere,COMMON
7,1,2,66,0.30000001192092896,0.30000001192092896,bedroom,COMMON
7,1,3,45,0.8999999761581421,0.8999999761581421,sunshine,COMMON
8,1,1,28,0.0,0.0,books,COMMON
8,1,2,85,-0.6000000238418579,0.6000000238418579,vision,COMMON
8,1,3,142,0.8999999761581421,0.8999999761581421,books,COMMON
8,1,4,114,0.0,0.0,kindle,COMMON
8,1,5,102,0.0,0.0,paper,COMMON
9,1,1,27,0.8999999761581421,0.8999999761581421,app,COMMON
9,1,2,37,0.0,0.0,iPad,PROPER
10,1,1,27,0.0,0.0,paperwhite,COMMON
10,1,2,9,0.0,0.0,fire,COMMON
10,1,3,345,0.0,0.0,charge,COMMON
10,1,4,139,0.0,0.0,charge,COMMON
10,1,5,525,0.0,0.0,covers,COMMON
10,1,6,97,0.0,0.0,claims,COMMON
10,1,7,296,0.10000000149011612,0.10000000149011612,charge,COMMON
10,1,8,220,0.0,0.0,fire,COMMON
10,1,9,176,0.6000000238418579,0.6000000238418579,lot,COMMON
10,1,10,201,0.0,0.0,lot,COMMON
10,1,11,265,0.0,0.0,power,COMMON
10,1,12,493,0.0,0.0,book,COMMON
10,1,13,372,0.0,0.0,products,COMMON
10,1,14,389,0.0,0.0,everyone,COMMON
10,1,15,104,0.0,0.0,Amazon,PROPER
10,1,16,507,0.0,0.0,home page,COMMON
10,1,17,605,0.0,0.0,paperwhite,COMMON
10,1,18,365,0.0,0.0,Kindle,PROPER
10,1,19,436,0.0,0.0,things,COMMON
10,1,20,400,0.0,0.0,reading habits,COMMON
11,1,1,17,0.20000000298023224,0.20000000298023224,paperwhite,COMMON
11,1,2,10,0.8999999761581421,0.8999999761581421,Kindle,PROPER
11,1,2,125,0.0,0.0,Kindle,PROPER
11,1,2,295,0.0,0.0,Kindle,PROPER
11,1,3,50,0.0,0.0,pool,COMMON
11,1,4,70,0.0,0.0,sun,COMMON
11,1,5,132,0.0,0.0,paperwhite,COMMON
11,1,6,91,-0.10000000149011612,0.10000000149011612,glare,COMMON
11,1,7,201,0.0,0.0,vacation,COMMON
11,1,8,272,0.8999999761581421,0.8999999761581421,price,COMMON
11,1,9,174,0.0,0.0,mine,COMMON
11,1,10,302,0.0,0.0,paperwhite,COMMON
11,1,11,182,0.0,0.0,Europe,PROPER
12,1,1,23,0.0,0.0,Kindle,PROPER
12,1,1,12,0.0,0.0,generation,COMMON
12,1,1,124,0.8999999761581421,0.8999999761581421,kindle,COMMON
12,1,2,100,0.0,0.0,one,COMMON
12,1,3,153,0.0,0.0,reader,COMMON
12,1,4,132,0.0,0.0,Works,COMMON
12,1,5,180,0.0,0.0,everything,COMMON
12,1,6,243,0.8999999761581421,0.8999999761581421,model,COMMON
12,1,7,269,0.0,0.0,reader,COMMON
12,1,8,252,0.0,0.0,anyone,COMMON
13,1,1,5,0.8999999761581421,0.8999999761581421,E-reader,COMMON
13,1,2,72,0.10000000149011612,0.10000000149011612,price,COMMON
13,1,3,63,0.0,0.0,size,COMMON
14,1,1,18,0.0,0.0,Kindle Paperwhite,PROPER
15,1,1,22,0.0,0.0,side,COMMON
16,1,1,459,-0.10000000149011612,0.10000000149011612,Paperweight,PROPER
16,1,1,1687,0.0,0.0,Kindle Paperweight,PROPER
16,1,1,1821,0.6000000238418579,0.6000000238418579,Paperweight,PROPER
16,1,2,17,0.6000000238418579,0.6000000238418579,thing,COMMON
16,1,3,5,0.0,0.0,smokes,COMMON
16,1,4,422,-0.10000000149011612,0.10000000149011612,cover,COMMON
16,1,5,105,-0.10000000149011612,0.10000000149011612,kinds,COMMON
16,1,6,1184,0.0,0.0,book,COMMON
16,1,7,157,0.20000000298023224,0.20000000298023224,battery,COMMON
16,1,8,693,0.0,0.0,documents,COMMON
16,1,9,80,0.0,0.0,Kindle,PROPER
16,1,9,635,0.0,0.0,Kindle,PROPER
16,1,9,732,0.0,0.0,georgewashington@kindle.com,PROPER
16,1,10,1153,0.0,0.0,everyone,COMMON
16,1,10,1231,0.0,0.0,everyone,COMMON
16,1,11,277,0.0,0.0,one,COMMON
16,1,12,379,0.0,0.0,cover,COMMON
16,1,13,898,0.0,0.0,Everyone,COMMON
16,1,14,857,0.0,0.0,charger,COMMON
16,1,15,1129,0.0,0.0,Amazon,PROPER
16,1,15,1367,0.0,0.0,Amazon,PROPER
16,1,15,1534,0.0,0.0,Amazon,PROPER
16,1,16,1054,0.0,0.0,BOOKS,COMMON
16,1,17,1147,0.0,0.0,Books,COMMON
16,1,18,1136,0.0,0.0,books,COMMON
16,1,19,807,0.0,0.0,Paperweight,COMMON
16,1,20,913,0.0,0.0,charger,COMMON
16,1,21,521,0.0,0.0,Paperweight,COMMON
16,1,22,888,0.0,0.0,charger,COMMON
16,1,23,496,0.0,0.0,cover,COMMON
16,1,24,1017,0.30000001192092896,0.30000001192092896,charger,COMMON
16,1,25,617,0.5,0.5,part,COMMON
16,1,26,1119,0.0,0.0,search,COMMON
16,1,27,711,0.0,0.0,e-mail address,COMMON
16,1,28,1648,0.0,0.0,books,COMMON
16,1,29,987,0.0,0.0,everywhere,COMMON
16,1,30,727,0.0,0.0,ie,COMMON
16,1,31,934,0.0,0.0,couple,COMMON
16,1,32,563,0.0,0.0,scrubs,COMMON
16,1,33,555,0.0,0.0,coat,COMMON
16,1,34,540,0.0,0.0,pocket,COMMON
16,1,35,393,0.0,0.0,Target,PROPER
16,1,36,661,0.0,0.0,e-mail address,COMMON
16,1,37,950,0.0,0.0,chargers,COMMON
16,1,38,1765,0.699999988079071,0.699999988079071,one,COMMON
16,1,39,1846,0.800000011920929,0.800000011920929,One,COMMON
16,1,40,1593,0.0,0.0,title,COMMON
16,1,41,1578,0.0,0.0,e-books w,COMMON
16,1,42,1730,0.0,0.0,everyone,COMMON
16,1,43,1353,0.0,0.0,window,COMMON
16,1,44,1778,0.0,0.0,things,COMMON
16,1,45,1557,0.0,0.0,list,COMMON
16,1,46,1225,0.0,0.0,books,COMMON
16,1,47,1405,0.0,0.0,book,COMMON
16,1,48,1374,0.0,0.0,books,COMMON
16,1,49,1862,0.8999999761581421,0.8999999761581421,purchases,COMMON
16,1,50,1512,0.0,0.0,Tom Sawyer,PROPER
16,1,51,1481,0.0,0.0,Gulliver's Travels,PROPER
16,1,52,1462,0.0,0.0,Tarzan,PROPER
16,1,53,1426,0.0,0.0,word,COMMON
16,1,54,1393,0.0,0.0,name,COMMON
16,1,55,1381,0.0,0.0,type,COMMON
16,1,56,1444,0.0,0.0,example,COMMON
16,1,57,1661,0.0,0.0,YIPPEEE,PROPER
17,1,1,117,0.20000000298023224,0.20000000298023224,Kindle Paperwhite E-reader,PROPER
17,1,2,36,0.0,0.0,anything,COMMON
17,1,3,59,0.0,0.0,book,COMMON
17,1,4,70,0.0,0.0,hands,COMMON
